paper_id,title,authors,year,venue,citations
P01,Deep Learning Fundamentals,Smith et al.,2015,ICML,"[]"
P02,Neural Networks Introduction,Johnson et al.,2015,NeurIPS,"['P01']"
P03,Convolutional Neural Networks,Williams et al.,2016,CVPR,"['P01', 'P02']"
P04,Recurrent Neural Networks,Brown et al.,2016,ICLR,"['P01']"
P05,Transformer Architecture,Davis et al.,2017,AAAI,"['P02', 'P03', 'P04']"
P06,Attention Mechanisms,Miller et al.,2017,NeurIPS,"['P01', 'P03']"
P07,BERT Pre-training,Wilson et al.,2018,ICML,"['P05', 'P06']"
P08,GPT Transformer,Moore et al.,2018,CVPR,"['P03', 'P05']"
P09,Vision Transformers,Taylor et al.,2019,ICLR,"['P05', 'P07']"
P10,Multi-Modal Learning,Anderson et al.,2019,AAAI,"['P04', 'P05']"
P11,Self-Supervised Learning,Thomas et al.,2020,NeurIPS,"['P05', 'P08', 'P09']"
P12,Few-Shot Learning,Jackson et al.,2020,ICML,"['P07', 'P10']"
P13,Meta Learning,White et al.,2021,CVPR,"['P05', 'P11']"
P14,Reinforcement Learning,Harris et al.,2021,ICLR,"['P09', 'P11']"
P15,Transfer Learning,Martin et al.,2022,AAAI,"['P11', 'P12', 'P13']"
P16,Contrastive Learning,Thompson et al.,2022,NeurIPS,"['P08', 'P14']"
P17,Diffusion Models,Garcia et al.,2022,ICML,"['P13', 'P14', 'P15']"
P18,Large Language Models,Martinez et al.,2023,CVPR,"['P11', 'P15']"
P19,Multimodal Foundation Models,Robinson et al.,2023,ICLR,"['P14', 'P16', 'P17']"
P20,Generative AI Systems,Clark et al.,2023,AAAI,"['P15', 'P17', 'P18']"
